GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bdb,com.redis.r2a2,App,131,0,2,0,33,0,6,0,5,0
bdb,com.redis.r2a2,App.new X509TrustManager() {...},8,0,0,0,4,0,4,0,4,0
